,Lat,Lon,Name,Location,State
98,-83.478078,45.342008,Presque Isle Light (Old), Presque Isle Peninsula,MI
99,-87.375,46.575,Presque Isle Harbor Breakwater Light, Presque Isle,MI
100,-83.4843,45.3435,Presque Isle Range Lights, Presque Isle,MI
101,-86.06748,44.81332,Robert H. Manning Memorial Light, Village Park,MI
102,-88.58059,48.0897,Rock Harbor Lighthouse, Isle Royale National Park,MI
103,-89.3133,47.8667,Rock Of Ages Lighthouse, Isle Royale National Park,MI
104,-84.6002,45.8295,Round Island Lighthouse, near Mackinac Island,MI
105,-84.0196,46.1088,Round Island (St. Mary's River) Lighthouse, Round Island in St Mary's River,MI
106,-84.61498,45.84337,Round Island Passage Light, near Mackinac Island,MI
107,-83.8534,43.6366,Saginaw River Rear Range Lighthouse, Bay City,MI
108,-88.3703,47.3919,Sand Hills Lighthouse-8 miles north, Ahmeek,MI
109,-88.4672,46.7836,Sand Point (Baraga) Lighthouse, Baraga,MI
110,-87.0447,45.7448,Sand Point (Escanaba) Lighthouse, Escanaba,MI
111,-85.9116,45.9216,Seul Choix Point Lighthouse, Seul Choix Point,MI
112,-85.1716,45.6772,Skillagalee Island (Iie Aux Galets) Light-7 miles offshore, Cross Village,MI
113,-85.8361,45.3798,South Fox Island Lighthouse, South Fox Island,MI
114,-86.28796,42.401418,South Haven South Pier Light, South Haven,MI
115,-86.288201,42.401974,South Haven North Pier Light, South Haven,MI
116,-86.093787,45.00783,South Manitou Island Lighthouse, South Manitou Island,MI
117,-84.1367,45.7732,Spectacle Reef Lighthouse-10 miles offshore, Bois Blanc Island,MI
118,-85.588,45.8393,Squaw Island Lighthouse, Squaw Island,MI
119,-82.68985,42.53759,St.Clair Flats Old Channel Range Light, Lake St Clair,MI
120,-84.8645,45.855,St.Helena Island Light, St Helena Island,MI
121,-84.715427,45.865943,St.Ignace Light (replica), St Ignace,MI
122,-86.493576,42.116083,St.Joseph's North Pier Lighthouse, St Joseph's,MI
123,-86.494648,42.116333,St Joseph's North Pier Outer Light, St Joseph's,MI
124,-86.494367,42.115248,St Joseph's South Pier Beacon, St Joseph's,MI
125,-86.7586,45.5049,St. Martin Island Light, St Martin Island,MI
126,-87.225,47.1834,Stannard Rock Lighthouse-way offshore, Lake Superior,MI
127,-83.272678,44.712703,Sturgeon Point Lighthouse, Harrisville,MI
128,-83.449531,44.253794,Tawas Point Lighthouse, Tawas Point State Park,MI
129,-83.1943,45.0369,Thunder Bay Lighthouse, Thunder Bay Island,MI
130,-85.1324,45.8101,Waugoshance Shoal Light, offshore from Waugoshance Island,MI
131,-86.423924,43.374806,White River Lighthouse, White River to Lake Michigan,MI
132,-86.429057,43.37553,White River North Pier Light, White River to Lake Michiga,MI
133,-86.429564,43.374938,White River South Pier Light, White River to Lake Michigan,MI
134,-85.1349,45.8417,White Shoal Lighthouse, 20 miles offshore of Mackinac Bridge,MI
135,-84.957436,46.771118,Whitefish Point Lighthouse, Whitefish Point,MI
136,-82.9542,42.347,William Livingstone Memorial Light, Belle Isle Island,MI
137,-82.92983,42.35812,Windmill Point Light, Detroit,MI
