lon,lat,park_name,type,phone,emenities,state,city
-112.126,35.213,Dogtown Lake,NF,928.635.5630/928.635.8200,NH DP 35ft PT DW NS NR N$ ,AZ,Williams
-111.493,34.943,Double Springs,NF,928.774.1147/928.527.3600,NH ND 35ft VT DW NS NR ,AZ,Flagstaff
-110.938,33.824,Falls,NF,928.462.4301/602.225.5201,NH ND 16ft VT NW NS NR N$ ,AZ,Young
-111.29,34.343,First Crossing,NF,928.474.7901/602.225.5201,NH ND NS NR ,AZ,Payson
-111.352,34.303,Flowing Springs,NF,928.474.7901/602.225.5201,NH ND NS NR N$ ,AZ,Payson
-111.398,35.023,Forked Pine,NF,928.774.1147/928.527.3600,NH ND 16ft VT DW NS NR ,AZ,Flagstaff
-109.487,33.929,Gabaldon,NF, ,NH ND 16ft VT NW NS NR ,AZ,Eager
-110.685,32.378,General Hitchcock,NF,520.749.8700/520.388.8300,NH ND VT NW NS NR ,AZ,Tucson
-110.712,34.302,Gentry,NF,928.537.8888/928.333.4301,NH ND VT NW NS NR L$ ,AZ,Payson
-109.382,33.187,Granville,NF,928.687.1301/928.333.4301,NH ND 16ft VT DW NS NR N$ ,AZ,Morenci
-111.045,33.641,Grapevine Bay,NF,928.467.3201/602.225.5201,NH ND DW SH NR ,AZ,Globe
-109.413,33.873,Grayling,NF,928.333.4372/928.333.4301,NH DP 22ft FT DW SH RS PA ,AZ,Eagar
-110.964,34.218,Haigler Canyon,NF,928.474.7901/602.225.5201,NH ND 20ft VT NW NS NR ,AZ,Young
-109.329,33.636,Hannagan,NF,928.339.4384/928.333.4301,NH ND 16ft VT DW NS NR N$ ,AZ,Alpine
-112.285,34.17,Hazlett Hollow,NF,928.443.8000/928.443.8210,NH ND VT DW NS NR ,AZ,Crown King
-109.234,31.873,Herb Martyr,NF,520.364.3468/520.388.8300,NH ND VT NW NS NR N$ ,AZ,Portal
-112.381,34.511,Hilltop,NF,928.443.8000/928.443.8210,NH ND 40ft VT DW NS NR ,AZ,Prescott
-110.63,35.024,Homolovi Ruins State Park,SP,928.289.4106,E DP 80ft FT DW SH RS L$ ,AZ,Winslow
-109.481,33.475,Honeymoon,NF,928.687.1301/928.333.4301,NH ND 16ft VT DW NS NR N$ ,AZ,Clifton
-109.344,33.788,Horse Springs,NF,928.339.4384/928.333.4301,NH ND 32ft VT DW NS NR L$ ,AZ,Alpine
-111.717,33.977,Horseshoe,NF,480.595.3301/602.225.5201,NH ND 16ft VT NW NS NR L$ ,AZ,Carefree
-109.874,32.666,Hospital Flat,NF,928.428.4150/520.388.8300,NH ND VT NW NS NR ,AZ,Safford
-111.32,34.271,Houston Mesa,NF,928.474.7901/602.225.5201,NH DP 30ft FT DW SH RS ,AZ,Payson
-110.803,33.324,Ice House CCC,NF, ,16ft VT NW NR ,AZ,Globe
-109.161,31.898,Idlewilde,NF,520.364.3468/520.388.8300,NH ND 16ft VT DW NS NR L$ ,AZ,Rodeo  NM
-112.497,34.479,Indian Creek,NF, ,NH 32ft DW NR ,AZ,Prescott
-111.239,33.767,Indian Point,NF,928.467.3201/602.225.5201,NH ND 16ft NW NS NR L$ ,AZ,Roosevelt
-112.214,36.716,Jacob Lake,NF,928.643.8130/928.635.8200,NH ND 35ft VT DW NS RS ,AZ,Jacob Lake
-109.222,31.878,John Hands,NF,520.364.3468/520.388.8300,VT NW NR ,AZ,Rodeo NM
-110.643,33.591,Jones Water,NF,928.402.6201/602.225.5201,NH ND 16ft VT NW NS NR N$ ,AZ,Globe
-112.157,35.281,Kaibab Lake,NF,928.635.5630/928.635.8200,NH DP 35ft PT DW NS NR ,AZ,Williams
-110.347,31.817,Kartchner Caverns State Park,SP,520.586.4100,E DP 60ft FT DW SH RS ,AZ,Benson
-111.317,34.436,Kehl Springs,NF,928.477.5001/928.527.3600,NH ND 22ft VT NW NS NR N$ ,AZ,Clints Well
-112.277,34.175,Kentuck Springs,NF, ,NH ND VT NW NS NR ,AZ,Crown King
-111.312,34.897,Kinnikinick,NF,928.774.1147/928.527.3600,NH ND 22ft VT NW NS NR ,AZ,Flagstaff
-111.093,34.427,Knoll Lake,NF,928.477.5001/928.527.3600,NH ND 32ft VT DW NS NR ,AZ,Blue Ridge
-109.355,33.576,KP Cienega,NF,928.339.4384/928.333.4301,NH ND 18ft VT DW NS NR N$ ,AZ,Alpine
-114.224,34.423,Lake Havasu State Park,SP,928.855.2784,NH DP 35ft FT DW SH RS ,AZ,Lake Havasu
-109.979,34.158,Lakeside,NF,928.368.5111/928.333.4301,NH DP 32ft VT DW NS RS PA ,AZ,Lakeside
-111.497,35.067,Lakeview,NF,928.774.1147/928.527.3600,NH ND 28ft VT DW NS NR ,AZ,Flagstaff
-110.448,31.429,Lakeview,NF,520.378.0311/520.388.8300,NH ND 32ft VT DW NS NR L$ ,AZ,Sonoita
-111.621,35.359,Lockett Meadow,NF,928.526.8231/928.527.3600,NH ND VT NW NS NR L$ ,AZ,Flagstaff
-109.776,34.142,Los Burros,NF,928.368.5111/928.333.4301,NH ND 22ft VT NW NS NR N$ ,AZ,Lakeside
-111.481,33.464,Lost Dutchman State Park,SP,480.982.4485,WE DP 35ft FT DW SH RS ,AZ,Apache Junction
-109.341,33.267,Lower Juan Miller,NF,928.687.1301/928.333.4301,NH ND VT NW NS NR N$ ,AZ,Clifton
-112.46,34.455,Lower Wolf Creek,NF,928.443.8000/928.443.8210,NH ND 40ft VT NW NS NR L$ ,AZ,Prescott
-109.082,33.835,Luna Lake,NF,928.339.4384/928.333.4301,NH ND 32ft VT DW NS RS PA L$ ,AZ,Alpine
-109.376,34.359,Lyman Lake State Park,SP,928.337.4441,E DP 35ft FT DW SH RS L$ ,AZ,St. Johns
-112.388,34.517,Lynx Lake,NF,928.443.8000/928.443.8210,NH ND 40ft VT DW NS NR ,AZ,Prescott
-111.745,34.936,Manzanita,NF,928.203.7501/928.527.3600,NH ND VT DW NS RS ,AZ,
-112.12,36.05,Mather - Grand Canyon National Park,NP,928.638.7888,NH DP 30ft FT DW RS PA ,AZ,Grand Canyon
-111.194,33.701,Mills Cove,NF,928.467.3201/602.225.5201,NR ,AZ,
-112.12,34.693,Mingus Mountain,NF,928.443.8000/928.443.8210,E ND 22ft VT NW NS NR N$ ,AZ,Clarkdale
-110.957,34.321,Mogollon,NF,928.537.8888/928.333.4301,NH DP 32ft VT DW NS NR ,AZ,Forest Lakes
-110.692,32.337,Molino Basin,NF,520.749.8700/520.388.8300,NH ND 22ft VT NW NS NR PA L$ ,AZ,Tucson
-112.061,36.211,North Rim - Grand Canyon National Park,NP,928.638.7888,NH ND 30ft FT DW SH RS PA ,AZ,
-111.051,33.308,Oak Flat,NF,928.402.6201/602.225.5201,NH ND 16ft VT NW NS NR N$ ,AZ,Superior
-111.253,33.762,Orange Peel,NF,928.467.3201/602.225.5201,NR ,AZ,
-110.854,31.49,Patagonia Lake State Park,SP,520.287.6965,E DP 35ft FT DW SH RS ,AZ,Patagonia
-110.716,32.538,Peppersauce,NF,520.749.8700/520.388.8300,NH ND VT DW NS RS PA L$ ,AZ,Oracle
-111.66,33.546,Phon D Sutton,NF,480.610.3301/602.225.5201,NH ND VT NW SH NR L$ ,AZ,New Franklin
-111.398,32.646,Picacho Peak State Park,SP,520.466.3183,E DP 35ft FT DW SH RS ,AZ,Picacho
-110.83,33.287,Pinal,NF,928.402.6201/602.225.5201,NH ND 16ft VT NW NS NR N$ ,AZ,Globe
-111.738,35.013,Pine Flat,NF,928.203.7501/928.527.3600,NH ND 30ft VT DW NS RS ,AZ,Sedona
-111.462,35.028,Pinegrove,NF,928.774.1147/928.527.3600,NH DP 33ft FT DW SH RS ,AZ,Flagstaff
-109.271,31.933,Pinery Canyon,NF,520.364.3468/520.388.8300,NH ND 16ft VT NW NS NR L$ ,AZ,Portal
-110.797,33.28,Pioneer Pass,NF,928.402.6201/602.225.5201,NH ND 16ft VT NW NS NR N$ ,AZ,Globe
-111.113,34.299,Ponderosa,NF,928.474.7901/602.225.5201,NH DP 45ft FT DW NS RS ,AZ,Payson
-112.154,34.711,Potato Patch,NF,928.567.4121/928.443.8210,E ND 40ft VT DW NS NR ,AZ,Clarkdale
-112.069,34.578,Powell Springs,NF,928.567.4121/928.443.8210,NH ND 16ft VT NW NS NR N$ ,AZ,Camp Verde
-109.329,33.799,Raccoon,NF,928.339.4384/928.333.4301,NH ND VT DW NS NR ,AZ,Alpine
-109.404,33.876,Rainbow,NF,928.333.4372/928.333.4301,NH DP 42ft FT DW SH RS PA ,AZ,Greer
-110.304,31.428,Ramsey Vista,NF,520.378.0311/520.388.8300,NH ND 12ft VT DW NS NR L$ ,AZ,Sierra Vista
-110.29,31.429,Reef Townsite,NF,520.378.0311/520.388.8300,NH ND 12ft VT DW NS NR L$ ,AZ,Sierra Vista
-109.963,32.708,Riggs Flat,NF,928.428.4150/520.388.8300,NH ND 22ft VT NW NS NR L$ ,AZ,Safford
-110.908,34.306,Rim,NF,928.537.8888/928.333.4301,NH DP 32ft VT DW NS NR ,AZ,Forest Lakes
-114.141,34.254,River Island  - Buckskin State Park,SP,928.667.3231,E DP DW SH RS ,AZ,Parker
-111.647,33.81,Riverside,NF,480.595.3301/602.225.5201,NH ND VT NW NS NR L$ ,AZ,Carefree
-111.219,34.563,Rock Crossing,NF,928.477.5001/928.527.3600,NH ND 32ft VT DW NS NR L$ ,AZ,Blue Ridge
-109.454,34.034,Rolfe C. Hoyer,NF,928.333.4372/928.333.4301,NH DP 32ft FT DW SH NR ,AZ,Greer
-109.71,32.759,Roper Lake State Park,SP,928.428.6760,E DP 45ft FT DW SH RS ,AZ,Safford
-110.704,32.393,Rose Canyon,NF,520.749.8700/520.388.8300,NH ND 22ft VT DW NS RS PA L$ ,AZ,Tucson
-110.979,33.83,Rose Creek,NF,928.462.4301/602.225.5201,NH ND 16ft VT DW NS NR N$ ,AZ,Young
-109.303,31.784,Rucker Forest Camp,NF,520.364.3468/520.388.8300,NH DP VT NW NS NR L$ ,AZ,Elfrida
-109.31,31.78,Rucker Lake,NF, ,VT NW NR ,AZ,Douglas
-109.279,31.905,Rustler Park,NF,520.364.3468/520.388.8300,NH ND 22ft VT DW NS NR L$ ,AZ,Rodeo  NM
-110.988,0,Sawmill Flats,NF,928.462.4301/602.225.5201,NH ND VT NS NR N$ ,AZ,
-111.013,33.648,Schoolhouse,NF,928.467.3201/602.225.5201,NH DP 32ft DW SH NR L$ ,AZ,Roosevelt
-109.96,34.176,Scott Reservoir,NF,928.368.5111/928.333.4301,NH ND VT NW NS NR N$ ,AZ,Lakeside
-111.283,34.356,Second Crossing,NF,928.474.7901/602.225.5201,NR ,AZ,Payson
-111.863,33.966,Seven Springs,NF,480.595.3301/602.225.5201,NH ND 16ft VT DW NS NR L$ ,AZ,Carefree
-109.858,32.657,Shannon,NF,928.428.4150/520.388.8300,NH ND 16ft VT NW NS NR L$ ,AZ,Safford
-110.996,34.307,Sharp Creek,NF,928.474.7901/602.225.5201,NH ND 45ft VT DW NS RS PA ,AZ,Payson
-110.886,34.306,Sinkhole,NF,928.537.8888/928.333.4301,NH DP 32ft VT DW NS NR ,AZ,Forest Lakes
-109.92,32.699,Soldier Creek,NF,928.428.4150/520.388.8300,NH ND 22ft FT NW NS NR L$ ,AZ,Safford
-110.74,32.417,Spencer Canyon,NF,520.749.8700/520.388.8300,NH ND 22ft VT DW NS NR L$ ,AZ,Tucson
-110.936,34.332,Spillway,NF,928.537.8888/928.333.4301,NH DP 16ft VT DW NS RS PA ,AZ,Heber
-109.167,31.891,Stewart,NF,520.364.3468/520.388.8300,NH ND 22ft VT DW NS NR L$ ,AZ,Portal
-109.849,32.592,Stockton Pass,NF,928.428.4150/520.388.8300,NH ND VT NW NS RS PA L$ ,AZ,Safford
-109.318,33.55,Strayhorse,NF,928.687.1301/928.333.4301,NH ND 16ft VT DW NS NR N$ ,AZ,Alpine
-110.868,33.293,Sulphide Del Ray,NF,928.402.6201/602.225.5201,NH ND VT NW NS NR N$ ,AZ,Globe
-109.175,31.885,Sunny Flat,NF,520.364.3468/520.388.8300,NH ND 28ft VT DW NS NR L$ ,AZ,Rodeo NM
-112.123,35.938,TenX,NF,928.635.8230/928.635.8200,NH ND 40ft VT DW NS RS PA ,AZ,Tusayan
-111.281,34.365,Third Crossing,NF,928.474.7901/602.225.5201,NH ND NS NR ,AZ,Payson
-110.571,33.688,Timber Camp,NF,928.402.6201/602.225.5201,NH ND 45ft NS NR ,AZ,Globe
-111.093,34.329,Tonto Creek,NF, ,NH ND NS NR ,AZ,Payson
-111.396,33.529,Tortilla,NF,480.610.3301/602.225.5201,NH DP 22ft VT DW NS RS L$ ,AZ,Apache Junction
-112.113,36.053,Trailer Village - Grand Canyon National Park,NP,928.638.2631,E 40ft FT DW RS ,AZ,Grand Canyon
-111.203,33.633,Upper Burnt Corral,NF,928.467.3201/602.225.5201,NR ,AZ,Apache Junction
-110.806,34.288,Upper Canyon Creek,NF,928.462.4301/602.225.5201,NH ND 16ft VT NW NS NR N$ ,AZ,Young
-109.347,33.269,Upper Juan Miller,NF,928.687.1301/928.333.4301,NH ND VT NW NS NR N$ ,AZ,Clifton
-111.094,34.339,Upper Tonto Creek,NF,928.474.7901/602.225.5201,NH ND 22ft VT DW NS NR ,AZ,Payson
-110.797,34.244,Valentine Ridge,NF,928.462.4301/602.225.5201,NH ND 16ft VT NW NS NR N$ ,AZ,Heber
-111.286,34.352,Water Wheel,NF,928.474.7901/602.225.5201,NH ND NS NR ,AZ,Payson
-109.413,33.79,West Fork,NF,928.339.4384/928.333.4301,10ft VT NW NR ,AZ,Alpine
-109.359,31.865,West Turkey Creek,NF, ,NH ND PT NW NS NR ,AZ,Douglas
-112.017,35.119,White Horse Lake,NF,928.635.5630/928.635.8200,NH DP 38ft PT DW NS RS PA ,AZ,Williams
-111.089,31.395,White Rock,NF,520.281.2296/520.388.8300,NH ND 22ft VT DW NS NR L$ ,AZ,Nogales
-112.477,34.509,White Spar,NF,928.443.8000/928.443.8210,NH ND 40ft VT DW NS NR ,AZ,Prescott
-111.087,33.667,Windy Hill,NF,928.467.3201/602.225.5201,NH DP 35ft FT DW SH NR L$ ,AZ,Roosevelt
-109.484,33.965,Winn,NF,928.333.4372/928.333.4301,NH ND 40ft VT DW NS RS PA ,AZ,Greer
-112.545,34.613,Yavapai,NF,928.443.8000/928.443.8210,NH ND 40ft VT DW NS NR ,AZ,Prescott
-106.345,37.379,Alamosa,NF,719.274.8971/719-852-5941,NH ND 22ft FT NW NS NR N$ ,CO,La Jara
-106.858,38.654,Almont,NF,970.641.0471/970.874.6600,NH ND 28ft VT DW NS NR L$ ,CO,Almont
-105.562,38.08,Alvarado,NF,719.269.8500/719.545.8737,NH ND 35ft VT DW NS RS ,CO,Westcliffe
-107.665,38.019,Amphitheater,NF,970.240.5300/970.874.6600,NH ND 20ft VT DW NS RS PA ,CO,Ouray
-106.221,38.583,Angel of Shavano,NF,719.539.3591/719.545.8737,NH ND 45ft VT DW NS NR ,CO,Poncha Springs
-105.35,40.689,Ansel Watrous,NF,970.498.1375/970.295.6600,NH ND 30ft VT DW NS RS ,CO,Rustic
-105.76,40.121,Arapaho Bay,NF,970.887.4100/970.295.6600,NH ND 32ft VT DW NS RS ,CO,Granby
-104.733,38.251,Arkansas Point - Lake Pueblo State Park,SP,719.561.9320,E DP FT DW SH RS ,CO,Pueblo
-106.032,40.517,Aspen,NF,970.723.8204/307.745.2300,22ft VT DW NR ,CO,Gould
-105.843,39.425,Aspen,NF,719.836.2031/719.545.8737,NH ND 25ft VT DW NS RS ,CO,Jefferson
-106.275,37.073,Aspen Glade,NF,719.274.8971/719-852-5941,NH ND 22ft VT DW NS RS ,CO,Antonito
-105.819,40.619,Aspen Glen,NF,970.498.1375/970.295.6600,NH ND 30ft VT DW NS NR ,CO,Fort Collins
-107.78,39.222,Aspen Grove - Vega State Park,SP,970.487.3407,NH DP VT DW NS RS ,CO,Collbran
-105.416,39.864,Aspen Meadow  - Golden Gate Canyon State Park,SP,303.582.3707,NH VT DW NS NR ,CO,Golden
-105.594,40.4,Aspenglen - Rocky Mountain National Park,NP,970.586.1206,NH ND 30ft FT DW NS RS PA ,CO,Estes Park
-107.204,39.236,Avalanche,NF,970.963.2266/970.945.2521,NH ND 16ft VT DW NS NR ,CO,Redstone
-106.351,39.27,Baby Doe,NF,719.486.0749/719.545.8737,NH DP 32ft FT DW NS RS PA ,CO,Leadville
-105.143,37.326,Bear Lake,NF,719.269.8500/719.545.8737,NH ND 40ft VT DW NS NR ,CO,La Veta
-107.07,40.045,Bear Lake,NF,719.269.8500/719.545.8737,NH ND 30ft VT DW NS NR L$ ,CO,Yampa
-106.676,37.617,Beaver Creek,NF,719.655.2547/719-852-5941,NH ND NS NR ,CO,South Fork
-106.133,40.053,Beaver Creek Unti - Hot Sulphur State Wildlife Area,SP,303.297.1192,NR ,CO,Parshall
-107.545,38.25,Beaver Lake,NF,970.240.5300/970.874.6600,NH ND 20ft VT DW NS NR L$ ,CO,Cimarron
-105.617,40.771,Bellaire Lake,NF,970.498.1375/970.295.6600,E ND 60ft VT DW NS RS PA ,CO,Red Feather Lakes
-106.349,39.269,Belle of Colorado,NF,719.486.0749/719.545.8737,NH ND FT DW NS NR ,CO,Leadville
-105.724,40.708,Big Bend,NF,970.498.1375/970.295.6600,NH ND 20ft VT DW NS NR ,CO,Fort Collins
-107.385,38.217,Big Blue,NF,970.641.0471/970.874.6600,NH ND VT NW NS NR N$ ,CO,Sapeniro
-107.545,38.258,Big Cimarron,NF, ,NH ND 20ft VT NW NS NR L$ ,CO,Cimarron
-107.883,39.078,Big Creek,NF,970.242.8211/970.874.6600,NH ND 30ft VT DW NS NR L$ ,CO,Collbran
-106.609,40.935,Big Creek Lakes,NF,970.723.8204/307.745.2300,NH ND 76ft VT DW NS RS PA L$ ,CO,
-106.795,37.54,Big Meadows,NF,719.657.3321/719-852-5941,NH ND 45ft VT DW NS RS ,CO,South Fork
-105.807,40.633,Big South,NF,970.498.1375/970.295.6600,NH ND 25ft VT NW NS NR ,CO,Fort Collins
-106.581,40.067,Blacktail Creek,NF,970.638.4516/307.745.2300,NH ND 18ft VT DW NS NR L$ ,CO,Yampa
-106.885,37.145,Blanco River,NF,970.264.2268/970.247.4874,NH ND 40ft VT DW NS NR ,CO,Pagosa
-106.366,39.472,Blodgett,NF,970.827.5715/970.945.2521,NH ND 30ft VT DW NS NR ,CO,Vail
-105.139,37.313,Blue Lake,NF,719.269.8500/719.545.8737,NH ND 40ft VT DW NS NR ,CO,La Veta
-105.362,38.961,Blue Mountain,NF,719.836.2031/719.545.8737,NH ND 35ft VT DW NS RS ,CO,Florissant
-106.131,39.726,Blue River,NF,970.468.5400/970.945.2521,NH ND 32ft VT DW NS NR ,CO,Silverthorne
-105.965,40.56,Bockman - State Forest State Park,SP,970.723.8366,NH ND VT NS NR ,CO,Walden
-107.262,39.1,Bogan Flats,NF,970.963.2266/970.945.2521,NH ND 45ft VT DW NS RS ,CO,Redstone
-105.058,40.43,Boyd Lake State Park,SP,970.669.1739,E DP 32ft FT DW SH RS PA ,CO,Loveland
-108.738,37.657,Bradfield,NF, ,NH ND 22ft VT DW NS NR ,CO,Cortez
-107.199,37.465,Bridge,NF,970.264.2268/970.247.4874,NH ND 50ft VT DW NS NR ,CO,Pagosa Springs
-107.144,37.818,Bristol Head,NF,719.657.3321/719-852-5941,NH ND 30ft VT DW NS NR ,CO,Creede
-105.927,40.796,Browns Park,NF,970.498.1375/970.295.6600,NH ND 30ft VT NW NS NR L$ ,CO,Gould
-109.045,38.44,Buckeye,NF,435.259.7155/435.637.2817,NH ND VT NW NS NR ,CO,Paradox
-105.329,39.341,Buffalo,NF,303.275.5610/719.545.8737,NH ND 20ft VT DW NS RS ,CO,Buffalo Creek
-106.517,38.185,Buffalo Pass,NF,719.655.2547/719-852-5941,NH ND 20ft VT DW NS NR ,CO,Saguache
-105.987,39.032,Buffalo Springs,NF,719.836.2031/719.545.8737,NH ND 25ft VT DW NS RS L$ ,CO,Fairplay
-105.711,39.513,Burning Bear,NF,303.275.5610/719.545.8737,NH ND 16ft VT DW NS NR ,CO,Jefferson
-108.066,37.788,Burro Bridge,NF, ,NH ND 35ft VT DW NS NR ,CO,Dolores
-105.897,39.876,Byers Creek,NF,970.887.4100/970.295.6600,NH ND 32ft VT DW NS NR ,CO,Fraser
-108.694,37.63,Cabin Canyon,NF,970.882.6800/970.247.4874,NH DP 22ft VT DW NS NR ,CO,Cortez
-105.521,40.128,Camp Dick,NF,303.541.2500/970.295.6600,NH ND 55ft VT DW NS RS ,CO,Ward
-106.314,39.42,Camp Hale Memorial,NF,970.827.5715/970.945.2521,NH ND 60ft VT DW NS RS N$ ,CO,Minturn
-107.983,39.042,Carp Lake,NF,970.242.8211/970.874.6600,VT DW NR ,CO,Cedaredge
-104.57,37.144,Carpios Ridge - Trinidad Lake State Park,SP,719.846.6951,WES DP FT DW SH RS ,CO,Trinidad
-106.245,38.71,Cascade,NF,719.539.3591/719.545.8737,NH ND 30ft VT DW NS RS ,CO,Nathrop
